year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2019,Melaka,25-29,5848,255.1,102200,57.22113503
2018,Perlis,35-39,220,227.3,14800,14.86486486
2019,Melaka,30-34,2305,256.2,77100,29.89623865
2018,Perlis,40-44,99,141,12100,8.181818182
2019,Melaka,35-39,932,182.3,63300,14.7235387
2018,Perlis,45-49,73,132,11900,6.134453782
2019,Melaka,40-44,518,171.7,48800,10.6147541
2018,Perlis,50-54,69,105.2,13400,5.149253731
2019,Melaka,45-49,296,114.6,47400,6.244725738
2018,Perlis,55-59,42,77.3,12500,3.36
2019,Melaka,50-54,177,64.2,49500,3.575757576
2018,Perlis,60-64,27,40.8,10800,2.5
2019,Melaka,55-59,142,53.6,45600,3.114035088
2018,Perlis,65+,43,20.8,22500,1.911111111
2019,Melaka,60-64,82,29.4,37100,2.210242588
2018,Perlis,all,3956,58,253500,15.60552268
2019,Melaka,65+,93,10.9,77100,1.206225681
2018,Pulau Pinang,< 20,317,1.4,473500,0.669482577
2020,Melaka,all,12680,51.4,998400,12.70032051
2018,Pulau Pinang,20-24,3802,55.2,172200,22.07897793
2020,Melaka,< 20,170,1.2,336600,0.505050505
2018,Pulau Pinang,25-29,7465,165.1,176900,42.19898248
2020,Melaka,20-24,2946,87.1,91500,32.19672131
2018,Pulau Pinang,30-34,4172,184.8,159300,26.18957941
2020,Melaka,25-29,5578,243.9,84400,66.09004739
2018,Pulau Pinang,35-39,1688,129.3,139500,12.10035842
2020,Melaka,30-34,2045,219.3,101800,20.08840864
2018,Pulau Pinang,40-44,705,82.4,118400,5.954391892
2020,Melaka,35-39,815,154.9,74300,10.96904441
2018,Pulau Pinang,45-49,423,56,111600,3.790322581
2020,Melaka,40-44,417,134.9,83400,5
2018,Pulau Pinang,50-54,230,33.7,100900,2.279484638
2020,Melaka,45-49,220,83.3,46100,4.772234273
2018,Pulau Pinang,55-59,184,30.1,87800,2.095671982
2020,Melaka,50-54,175,64.3,40700,4.2997543
2018,Pulau Pinang,60-64,80,14.9,75400,1.061007958
2020,Melaka,55-59,125,45.2,42400,2.948113208
2018,Pulau Pinang,65+,86,6,147300,0.583842498
2020,Melaka,60-64,79,27.7,34000,2.323529412
2018,Pulau Pinang,all,19152,42.1,1762800,10.8645337
2020,Melaka,65+,110,11.9,63200,1.740506329
2018,Sabah,< 20,1484,2.3,1364500,1.087577867
2021,Melaka,all,14700,52.9,1004500,14.63414634
2018,Sabah,20-24,7651,54.8,473100,16.17205665
2021,Melaka,< 20,195,1.2,330700,0.589658301
2018,Sabah,25-29,12061,124.7,489600,24.63439542
2021,Melaka,20-24,3633,96.3,93800,38.73134328
2018,Sabah,30-34,5792,136.6,370400,15.63714903
2021,Melaka,25-29,6507,255,87300,74.53608247
2018,Sabah,35-39,2395,101.3,308400,7.765888457
2021,Melaka,30-34,2293,218.6,101000,22.7029703
2018,Sabah,40-44,1035,75.9,221500,4.67268623
2021,Melaka,35-39,971,164,75400,12.87798408
2018,Sabah,45-49,631,66.1,181000,3.486187845
2021,Melaka,40-44,419,120.4,82300,5.091130012
2018,Sabah,50-54,383,46.9,151400,2.529722589
2021,Melaka,45-49,279,93.3,51200,5.44921875
2018,Sabah,55-59,199,29.8,121800,1.633825944
2021,Melaka,50-54,148,47.1,40300,3.672456576
2018,Sabah,60-64,108,16.2,88000,1.227272727
2021,Melaka,55-59,98,31,41200,2.378640777
2018,Sabah,65+,102,6.5,128700,0.792540793
2021,Melaka,60-64,73,22.7,36300,2.011019284
2018,Sabah,all,31841,30.3,3898400,8.16770983
